EventName,Fare,TypeOfTrip,Ratings,description,Link,Event_Type
48. St. Audoen's Church,,Churches & Cathedrals,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214994-Reviews-St_Audoen_s_Church-Dublin_County_Dublin.html,Activites
49. Shelbourne Park Greyhound Stadium,,Arenas & Stadiums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d1896047-Reviews-Shelbourne_Park_Greyhound_Stadium-Dublin_County_Dublin.html,Activites
50. The Dublin Liberties Distillery,,Distilleries,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d16743786-Reviews-The_Dublin_Liberties_Distillery-Dublin_County_Dublin.html,Activites
51. Aviva Stadium,,Arenas & Stadiums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d1954225-Reviews-Aviva_Stadium-Dublin_County_Dublin.html,Activites
52. Seamus Heaney: Listen Now Again,,Speciality Museums • History Museums,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d16760525-Reviews-Seamus_Heaney_Listen_Now_Again-Dublin_County_Dublin.html,Activites
53. O'Connell Street,,Points of Interest & Landmarks • Historic Walking Areas,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d191017-Reviews-O_Connell_Street-Dublin_County_Dublin.html,Activites
54. National Print Museum,,Speciality Museums • History Museums,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216338-Reviews-National_Print_Museum-Dublin_County_Dublin.html,Activites
55. Irish Famine Exhibition,,History Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d12388310-Reviews-Irish_Famine_Exhibition-Dublin_County_Dublin.html,Activites
56. Dublin Visitor Centre,,Visitor Centres,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d4501948-Reviews-Dublin_Visitor_Centre-Dublin_County_Dublin.html,Activites
57. National Museum of Ireland- Natural History,,Speciality Museums • Natural History Museums,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d191021-Reviews-National_Museum_of_Ireland_Natural_History-Dublin_County_Dublin.html,Activites
58. Casino Marino,,Historic Sites • Architectural Buildings,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216186-Reviews-Casino_Marino-Dublin_County_Dublin.html,Activites
59. Drimnagh Castle,,Castles,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216253-Reviews-Drimnagh_Castle-Dublin_County_Dublin.html,Activites
60. The Porterhouse Brewing Company,,Breweries,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d523136-Reviews-The_Porterhouse_Brewing_Company-Dublin_County_Dublin.html,Activites
61. The National Wax Museum Plus,,Speciality Museums,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216339-Reviews-The_National_Wax_Museum_Plus-Dublin_County_Dublin.html,Activites
62. Incognito Escape Room,,Escape Games,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d12433766-Reviews-Incognito_Escape_Room-Dublin_County_Dublin.html,Activites
63. Farmleigh House and Estate,,Architectural Buildings • Gardens,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d2467386-Reviews-Farmleigh_House_and_Estate-Dublin_County_Dublin.html,Activites
64. 3Olympia Theatre,,Theatres,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d523542-Reviews-3Olympia_Theatre-Dublin_County_Dublin.html,Activites
65. National Library of Ireland,,Libraries • History Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d214989-Reviews-National_Library_of_Ireland-Dublin_County_Dublin.html,Activites
66. Samuel Beckett Bridge,,Points of Interest & Landmarks • Architectural Buildings,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d3666512-Reviews-Samuel_Beckett_Bridge-Dublin_County_Dublin.html,Activites
67. St. Stephen's Green Shopping Centre,,Shopping Malls,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d191023-Reviews-St_Stephen_s_Green_Shopping_Centre-Dublin_County_Dublin.html,Activites
68. Monument to Oscar Wilde,,Points of Interest & Landmarks • Monuments & Statues,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d6509095-Reviews-Monument_to_Oscar_Wilde-Dublin_County_Dublin.html,Activites
69. War Memorial Gardens,,Gardens,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216543-Reviews-War_Memorial_Gardens-Dublin_County_Dublin.html,Activites
70. River Liffey,,Bodies of Water,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d191016-Reviews-River_Liffey-Dublin_County_Dublin.html,Activites
71. Iveagh Gardens,,Gardens,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216319-Reviews-Iveagh_Gardens-Dublin_County_Dublin.html,Activites
72. Rascals Brewing Company,,Breweries,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d15515978-Reviews-Rascals_Brewing_Company-Dublin_County_Dublin.html,Activites
73. 3Arena,,Theatres,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d3845890-Reviews-3Arena-Dublin_County_Dublin.html,Activites
74. Garden of Remembrance,,Gardens,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d189053-Reviews-Garden_of_Remembrance-Dublin_County_Dublin.html,Activites
75. Guinness Open Gate Brewery,,Breweries,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d11815379-Reviews-Guinness_Open_Gate_Brewery-Dublin_County_Dublin.html,Activites
76. Cliff Path Loop,,Hiking Trails • Scenic Walking Areas,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d4163895-Reviews-Cliff_Path_Loop-Dublin_County_Dublin.html,Activites
77. Brown Thomas,,Department Stores,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d189576-Reviews-Brown_Thomas-Dublin_County_Dublin.html,Activites
78. Áras an Uachtaráin,,Historic Sites • Architectural Buildings,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d215064-Reviews-Aras_an_Uachtarain-Dublin_County_Dublin.html,Activites
79. An Evening of Irish Folklore and Fairies,,Dinner Theatres,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d1382814-Reviews-An_Evening_of_Irish_Folklore_and_Fairies-Dublin_County_Dublin.html,Activites
80. Smock Alley Theatre 1662,,Theatres,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d3365821-Reviews-Smock_Alley_Theatre_1662-Dublin_County_Dublin.html,Activites
81. Powerscourt Townhouse Centre,,Shopping Malls,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d189583-Reviews-Powerscourt_Townhouse_Centre-Dublin_County_Dublin.html,Activites
82. Henry Street,,Points of Interest & Landmarks,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d217985-Reviews-Henry_Street-Dublin_County_Dublin.html,Activites
83. Olivier Cornet Gallery,,Art Galleries,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d8388149-Reviews-Olivier_Cornet_Gallery-Dublin_County_Dublin.html,Activites
84. St. Teresa's Church,,Religious Sites,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d215055-Reviews-St_Teresa_s_Church-Dublin_County_Dublin.html,Activites
85. Poolbeg Lighthouse,,Points of Interest & Landmarks • Lighthouses,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d7104713-Reviews-Poolbeg_Lighthouse-Dublin_County_Dublin.html,Activites
86. AdventureRooms Dublin,,Escape Games,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d7827181-Reviews-AdventureRooms_Dublin-Dublin_County_Dublin.html,Activites
87. Kylemore Karting,,Auto Racing Tracks,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d284100-Reviews-Kylemore_Karting-Dublin_County_Dublin.html,Activites
88. Irish Jewish Museum,,Speciality Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216315-Reviews-Irish_Jewish_Museum-Dublin_County_Dublin.html,Activites
89. The Temple Bar,,Bars & Clubs,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d188823-Reviews-The_Temple_Bar-Dublin_County_Dublin.html,Activites
90. The Forty Foot,,Bodies of Water,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216538-Reviews-The_Forty_Foot-Dublin_County_Dublin.html,Activites
91. Leopardstown Racecourse,,Horse Tracks,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d217984-Reviews-Leopardstown_Racecourse-Dublin_County_Dublin.html,Activites
92. Phil Lynott Statue,,Points of Interest & Landmarks • Monuments & Statues,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d7909862-Reviews-Phil_Lynott_Statue-Dublin_County_Dublin.html,Activites
93. Sugarloaf Mountain,,Mountains,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d526326-Reviews-Sugarloaf_Mountain-Dublin_County_Dublin.html,Activites
94. St. Patrick's Park,,Gardens,4.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d8028663-Reviews-St_Patrick_s_Park-Dublin_County_Dublin.html,Activites
95. Needful Things,,Antique Shops,5.0 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d18933494-Reviews-Needful_Things-Dublin_County_Dublin.html,Activites
96. Pearse Museum,,History Museums,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216350-Reviews-Pearse_Museum-Dublin_County_Dublin.html,Activites
97. Royal Hospital Kilmainham,,Historic Sites • Architectural Buildings,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d216617-Reviews-Royal_Hospital_Kilmainham-Dublin_County_Dublin.html,Activites
98. Bewley's Lunchtime Theatre,,Theatres,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d2520914-Reviews-Bewley_s_Lunchtime_Theatre-Dublin_County_Dublin.html,Activites
99. Civic Theatre,,Theatres,4.5 ,,https://www.tripadvisor.ie/Attraction_Review-g186605-d3570908-Reviews-Civic_Theatre-Dublin_County_Dublin.html,Activites
